"Time(s),Cell1_Temp(°C),Cell2_Temp(°C),Cell3_Temp(°C),Cell4_Temp(°C),Cell5_Temp(°C),Cell6_Temp(°C)"
"0,25,25,25,25,25,25"
"60,29.5,29.8,30.2,30.0,29.7,29.3"
"120,34.2,35.0,35.8,35.4,34.7,33.9"
"180,38.5,39.7,40.8,40.2,39.2,38.1"
"240,42.1,43.6,44.9,44.2,43.0,41.6"
"300,45.0,46.7,48.1,47.3,46.0,44.4"
"360,47.0,48.7,50.1,49.3,48.0,46.4"
"420,48.1,49.8,51.2,50.4,49.1,47.5"
"480,48.5,50.2,51.6,50.8,49.5,47.9"
"540,48.6,50.3,51.7,50.9,49.6,48.0"
"600,48.6,50.3,51.7,50.9,49.6,48.0"
