"Time(s),Cell1_Temp(°C),Cell2_Temp(°C),Cell3_Temp(°C),Cell4_Temp(°C),Cell5_Temp(°C),Cell6_Temp(°C)"
"0,25,25,25,25,25,25"
"60,31.2,31.7,32.3,32.0,31.5,31.0"
"120,37.8,38.9,40.1,39.5,38.5,37.3"
"180,43.5,45.1,46.7,45.9,44.6,42.9"
"240,48.2,50.1,51.9,51.0,49.5,47.5"
"300,51.7,53.7,55.6,54.7,53.1,51.0"
"360,54.0,56.0,57.9,57.0,55.4,53.3"
"420,55.3,57.3,59.2,58.3,56.7,54.6"
"480,56.0,58.0,59.9,59.0,57.4,55.3"
"540,56.6,58.6,60.5,59.6,58.0,55.9"
"600,56.8,58.8,60.7,59.8,58.2,56.1"
